id,title,popularity,runtime,price,overview
581F,The Long  Long Trailer,92,96,6.99,"A newly wed couple, Tacy and Nicky, travel in a trailer for their honeymoon. The journey is a humorous one that could end up destroying their marriage."
09C1,Gold Diggers of 1933 ,81,97,6.99,"Four aspiring musical actresses  Carol, Trixie, Polly and Fay  are struggling to make a living on Broadway in the midst of the Great Depression. When producer Barney Hopkins has the idea of creating a show about the Depression, the girls team up with  newlydiscovered songwriter Brad Roberts to make it happen. But Brad is not who he seems."
230E,Love Crazy ,109,99,7.99,William Powell and Myrna Loy are a couple whose marriage is on the verge of being broken up by his old girlfriend and her disapproving mother.
8EC5,Paradise Lost: The Child Murders at Robin Hood Hills ,148,150,7.99,A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.
62CF,Good-bye  My Lady,130,94,7.99,An old man and a young boy who live in the southeastern Mississippi swamps are brought together by the love of a dog.
4971,700 Sundays ,94,119,7.99,"In 700 Sundays, legendary comedian and actor Billy Crystal tells the stories of his youth, growing up in the jazz world of Manhattan, his teenage years, and finally adulthood. The Tony Awardwinning show is a funny and poignant exploration of family and fate, loving and loss."
8093,Kongo ,140,86,6.99,"From a wheelchair a handicapped white man rules an area of Africa as a living god. He rules the local natives through superstition and stage magic and he rules the few white people through sadism, keeping them virtual prisoners. He lives for the day he can avenge himself horribly on the man who stole his wife and crushed his spine. Strong and macabre stuff in a nearly forgotten horror film."
496A,Protagonist ,81,90,7.99,"Jessica Yus documentary explores the relationship between human life and Euripidean dramatic structure by weaving together the stories of four men German terrorist, a bank robber, an exgay evangelist, and a martial arts student."
09C8,WALL·E ,99,98,7.99,"WALLE is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting humanlike qualities. When a ship arrives with a sleek new type of robot, WALLE thinks hes finally found a friend and stows away on the ship when it leaves."
1462,The Dream Team ,143,70,7.99,"The world had rarely seen a frenzy as the one the Dream Team created when it arrived in Barcelona, Spain, in July 1992. The Dream Team featured 11 future Naismith Memorial Basketball Hall of Fame players and three future Hall of Famers on the coaching staff, including head coach Chuck Daly."
